long,lat,total,hr,mo,day
-73.975822,40.755733,3.0155349008501706,11,Jan,Wed
-73.970024,40.765533,1.5040773967762742,14,Jan,Wed
-74.012321,40.703121,3.250374491927572,12,Jan,Wed
-74.008492,40.734161,3.481240089335692,12,Jan,Wed
-73.979095,40.785236,2.2512917986064953,14,Jan,Wed
-73.97319,40.752766,2.0794415416798357,15,Jan,Wed
-73.998009,40.73954,2.2512917986064953,14,Jan,Wed
-73.98217,40.736015,2.1972245773362196,12,Jan,Wed
-73.973038,40.752914,2.0794415416798357,13,Jan,Wed
-73.983383,40.781658,2.1972245773362196,16,Jan,Wed
-73.962067,40.810753,2.2512917986064953,16,Jan,Wed
-74.009148,40.706512,3.2347491740244907,16,Jan,Wed
-73.985924,40.722721,1.9459101490553132,15,Jan,Wed
-74.00502,40.733307,2.545531271604435,16,Jan,Wed
-73.955452,40.768696,1.8718021769015913,12,Jan,Wed
-73.956444,40.781441,1.3862943611198906,16,Jan,Wed
-73.95845,40.781357,2.772588722239781,16,Jan,Wed
-73.974648,40.742096,3.4011973816621555,16,Jan,Wed
-74.016235,40.71487,3.3638415951183864,17,Jan,Wed
-74.010338,40.72047,2.5494451709255714,17,Jan,Wed
-74.009804,40.735958,2.0149030205422647,16,Jan,Wed
-73.976639,40.751774,2.1972245773362196,14,Jan,Wed
-73.955879,40.764103,2.70805020110221,19,Jan,Wed
-73.863564,40.769203,3.828641396489095,18,Jan,Wed
-73.991539,40.738792,3.091042453358316,18,Jan,Wed
-73.946609,40.775673,1.791759469228055,19,Jan,Wed
-73.985786,40.758652,1.8718021769015913,17,Jan,Wed
-73.966148,40.753864,2.1972245773362196,18,Jan,Wed
-73.982544,40.778976,2.1972245773362196,20,Jan,Wed
-73.978798,40.724205,2.1400661634962708,19,Jan,Wed
-73.964653,40.806744,3.7013019741124933,21,Jan,Wed
-73.990402,40.718742,3.66612246699132,22,Jan,Wed
-73.994049,40.751324,1.9878743481543455,21,Jan,Wed
-73.988091,40.756626,2.3513752571634776,20,Jan,Wed
-73.984245,40.757133,1.6331544390514163,20,Jan,Wed
-73.970795,40.763844,1.9878743481543455,20,Jan,Wed
-73.986389,40.740223,2.995732273553991,23,Jan,Wed
-73.974106,40.756344,2.2512917986064953,21,Jan,Wed
-73.962868,40.809666,2.833213344056216,20,Jan,Wed
-73.999687,40.72522,1.791759469228055,22,Jan,Wed
-73.980453,40.764736,1.791759469228055,0,Jan,Thu
-74.015083,40.714832,3.3141860046725258,21,Jan,Wed
-73.987167,40.742947,2.716018370751387,22,Jan,Wed
-73.990875,40.734112,2.4423470353692043,0,Jan,Thu
-73.995163,40.801632,4.442651256490317,2,Jan,Thu
-73.958771,40.780853,2.9601050959108397,22,Jan,Wed
-73.950172,40.721996,2.740840023925201,23,Jan,Wed
-73.961212,40.764839,3.1135153092103742,5,Jan,Thu
-74.001038,40.731876,2.5649493574615367,21,Jan,Wed
-73.993797,40.752018,1.9021075263969205,0,Jan,Thu
-74.002838,40.749271,2.6026896854443837,0,Jan,Thu
-73.979568,40.784519,1.5040773967762742,21,Jan,Wed
-74.002388,40.733742,3.1570004211501135,23,Jan,Wed
-73.991455,40.739189,3.2188758248682006,23,Jan,Wed
-74.010246,40.719162,1.7047480922384253,0,Jan,Thu
-73.830292,40.713516,3.1570004211501135,6,Jan,Thu
-73.852882,40.809635,2.6741486494265287,2,Jan,Thu
-73.960548,40.769611,1.8870696490323797,6,Jan,Thu
-73.986725,40.762547,2.134166441369082,9,Jan,Thu
-74.009689,40.705135,3.1570004211501135,8,Jan,Thu
-73.975487,40.752808,1.9740810260220096,10,Jan,Thu
-73.960526,40.775631,1.9459101490553132,8,Jan,Thu
-73.956558,40.766941,3.044522437723423,2,Jan,Tue
-73.985825,40.746586,2.772588722239781,1,Jan,Tue
-73.987747,40.718472,3.0204248861443626,1,Jan,Tue
-73.961021,40.765156,2.2082744135228043,0,Jan,Tue
-73.953682,40.770973,2.5649493574615367,3,Jan,Tue
-73.984642,40.779716,1.6094379124341003,0,Jan,Tue
-74.002373,40.734554,3.1354942159291497,1,Jan,Tue
-74.004646,40.741661,2.4849066497880004,1,Jan,Tue
-73.91629,40.718292,2.70805020110221,3,Jan,Tue
-73.961861,40.771179,2.431857428698185,3,Jan,Tue
-73.942032,40.822601,3.1570004211501135,1,Jan,Tue
-73.989052,40.743118,3.3843902633457743,1,Jan,Tue
-73.972359,40.793743,1.5040773967762742,0,Jan,Tue
-73.98896,40.748741,2.4203681286504293,12,Jan,Tue
-73.991989,40.749287,3.517497837358316,4,Jan,Tue
-73.977905,40.778698,1.8870696490323797,10,Jan,Tue
-73.945747,40.781898,2.917770732084279,13,Jan,Tue
-73.90316,40.745911,2.4849066497880004,7,Jan,Tue
-74.001175,40.731815,3.6635616461296463,11,Jan,Tue
-73.917824,40.743305,3.0155349008501706,8,Jan,Tue
-73.982422,40.780106,2.2512917986064953,11,Jan,Tue
-73.977501,40.760738,2.4849066497880004,14,Jan,Tue
-73.987625,40.7024,3.3603753871419,12,Jan,Tue
-73.974968,40.790089,3.5263605246161616,9,Jan,Tue
-73.96196,40.75959,2.2512917986064953,14,Jan,Tue
-73.789955,40.643826,3.9512437185814275,15,Jan,Tue
-73.981697,40.764748,3.367295829986474,9,Jan,Tue
-73.988441,40.759262,2.1400661634962708,8,Jan,Tue
-74.005058,40.715603,2.6390573296152584,15,Jan,Tue
-73.870705,40.773621,3.258096538021482,13,Jan,Tue
-73.989151,40.742176,2.1972245773362196,15,Jan,Tue
-73.989807,40.734081,1.791759469228055,16,Jan,Tue
-73.974312,40.738026,2.772588722239781,15,Jan,Tue
-73.977509,40.787125,1.3862943611198906,16,Jan,Tue
-73.97438,40.78315,1.6094379124341003,15,Jan,Tue
-74.008354,40.70565,2.803360380906535,16,Jan,Tue
-73.984207,40.756531,3.7013019741124933,17,Jan,Tue
-73.87439,40.774044,2.803360380906535,17,Jan,Tue
-73.970619,40.760746,1.8718021769015913,19,Jan,Tue
