long,lat,total,hr,mo,day
-73.94577,40.745796,1.6094379124341003,0,Nov,Fri
-73.982506,40.742477,2.2512917986064953,13,Sep,Mon
-74.008018,40.714745,2.3513752571634776,17,May,Fri
-73.992767,40.702122,2.7536607123542622,23,Aug,Wed
-73.986908,40.733593,4.152141660948318,4,Sep,Thu
-73.996132,40.732273,2.990719731730447,23,Dec,Tue
-73.998352,40.719883,3.5409593240373143,8,Dec,Wed
-73.951622,40.777924,2.1400661634962708,17,Mar,Fri
-73.980644,40.774799,1.8718021769015913,10,May,Tue
-73.966835,40.788998,2.0794415416798357,22,Jul,Wed
-74.00399,40.742725,2.6026896854443837,0,Nov,Sat
-73.971596,40.795361,2.2512917986064953,15,Jan,Wed
-73.982552,40.745083,2.8622008809294686,2,Jan,Thu
-74.000763,40.727451,2.6390573296152584,6,Mar,Fri
-73.992706,40.758293,2.1400661634962708,13,May,Thu
-73.990562,40.751495,2.1972245773362196,13,Jun,Tue
-73.954132,40.784607,2.772588722239781,15,Feb,Tue
-73.97728,40.749588,1.9459101490553132,20,Jan,Mon
-73.937798,40.803871,0.9162907318741551,18,Feb,Wed
-73.967209,40.766861,2.33214389523559,18,May,Sat
-73.984566,40.752453,1.3862943611198906,18,Aug,Tue
-73.980125,40.766136,2.3513752571634776,21,Sep,Wed
-73.99456,40.766758,2.2512917986064953,23,Mar,Sun
-73.984169,40.751202,4.243051882383293,19,Oct,Mon
-73.994385,40.758827,2.70805020110221,11,May,Tue
-73.984596,40.743126,2.0943301541735866,11,Jan,Thu
-73.98877,40.748486,3.741471904233107,19,Jul,Wed
-73.875,40.773956,1.3862943611198906,12,Feb,Fri
-74.015198,40.718208,3.1354942159291497,8,Sep,Thu
-73.979408,40.744308,2.1972245773362196,14,Jul,Thu
-73.972488,40.790859,1.7047480922384253,12,Mar,Sat
-73.985367,40.738506,2.3513752571634776,1,Oct,Fri
-73.964645,40.764194,2.31451366385932,9,Apr,Sun
-73.984444,40.754295,2.6390573296152584,19,Mar,Thu
-73.789169,40.647106,3.9512437185814275,8,Apr,Sat
-73.964554,40.756264,1.766441661243765,7,Jun,Sun
-74.002113,40.740196,1.6094379124341003,20,Oct,Mon
-73.97554,40.752392,1.8718021769015913,21,Nov,Sun
-73.990181,40.738346,2.6026896854443837,17,Nov,Tue
-73.985542,40.756802,2.5257286443082556,11,Nov,Mon
-73.982567,40.723331,2.9014215940827497,4,Apr,Sat
-73.99398,40.761585,1.9459101490553132,0,Mar,Sun
-74.016464,40.710083,3.2188758248682006,12,Jan,Tue
-73.985229,40.778679,2.0149030205422647,11,Jul,Sat
-73.949089,40.781754,3.044522437723423,9,Nov,Sun
-73.843948,40.721256,3.6635616461296463,19,Feb,Sat
-73.979698,40.781036,2.5257286443082556,8,Jan,Wed
-73.98893,40.727337,2.0014800002101243,0,Jul,Sun
-73.960968,40.768997,1.7047480922384253,9,Feb,Sat
-73.987236,40.755333,2.613739521630969,12,Nov,Wed
-73.991371,40.689457,2.580216829592325,14,Sep,Tue
-73.995705,40.725071,1.9459101490553132,11,Dec,Thu
-74.000641,40.737495,1.5040773967762742,2,Apr,Sat
-73.948776,40.773781,2.4849066497880004,11,Sep,Wed
-73.998535,40.722725,2.6026896854443837,21,Oct,Thu
-73.9785,40.763859,4.036008985209137,22,Mar,Sun
-73.991341,40.748325,2.3561258599220753,0,Aug,Thu
-73.973877,40.656189,2.0149030205422647,21,Dec,Mon
-73.959518,40.780117,1.9629077254238845,19,Apr,Fri
-73.98999,40.769657,2.8690346205080335,9,Mar,Sat
-73.955048,40.780048,1.9459101490553132,5,Feb,Fri
-73.975021,40.761986,2.4849066497880004,11,May,Thu
-73.991821,40.72459,2.970414465569701,20,Apr,Sun
-73.973396,40.784805,1.8718021769015913,18,Feb,Mon
-73.98851,40.746124,2.2512917986064953,21,Sep,Fri
-74.002594,40.747849,2.9652730660692823,20,Apr,Fri
-73.873108,40.77422,3.562749176969724,15,Jan,Tue
-73.987358,40.760693,1.3862943611198906,11,Mar,Sat
-74.010178,40.720581,3.370738174177447,17,Jan,Fri
-73.97393,40.764633,2.70805020110221,14,Oct,Sat
-73.963158,40.777882,2.6741486494265287,10,Oct,Wed
-73.995918,40.720978,3.1780538303479458,2,Apr,Tue
-73.980537,40.748024,1.7227665977411035,18,Nov,Mon
-73.972275,40.756195,3.5336865647082343,1,Apr,Sat
-73.990364,40.717911,2.272125885509337,9,Aug,Mon
-73.991455,40.732216,2.388762789235098,15,Feb,Tue
-73.991013,40.751141,2.4849066497880004,21,May,Fri
-74.001099,40.731602,2.1400661634962708,15,Mar,Sun
-73.978447,40.785545,2.970414465569701,18,Oct,Thu
-73.965981,40.794857,3.295836866004329,8,Jan,Tue
-73.987724,40.739197,2.8622008809294686,20,Feb,Thu
-73.962883,40.762634,2.3978952727983707,10,Jun,Sat
-74.003029,40.749191,2.4423470353692043,16,Jun,Mon
-74.00563,40.706142,2.0794415416798357,14,Dec,Fri
-73.99054,40.718765,2.3513752571634776,21,Jun,Thu
-73.975945,40.760937,1.7047480922384253,11,Sep,Tue
-73.959686,40.771652,1.6094379124341003,8,May,Mon
-73.98481,40.732193,1.9459101490553132,12,Mar,Wed
-74.003349,40.743717,2.1400661634962708,2,Sep,Sun
-73.991287,40.732513,2.1400661634962708,6,Jun,Mon
-74.00499,40.728619,2.4423470353692043,23,Oct,Sat
-73.983963,40.729328,2.5257286443082556,21,Jun,Sat
-73.958633,40.80896,1.9459101490553132,16,Jan,Mon
-73.984306,40.728935,1.8870696490323797,14,Nov,Wed
-73.986259,40.730583,2.1972245773362196,23,Aug,Tue
-73.979507,40.746323,2.791165107812717,21,Nov,Sat
-74.002022,40.718601,2.474856313934499,9,May,Fri
-73.989525,40.75901,2.803360380906535,19,Jul,Wed
-73.977448,40.758263,2.1972245773362196,16,Sep,Sun
-73.992088,40.73793,2.6210388241125804,12,Jul,Tue
-73.961662,40.768707,1.791759469228055,7,Dec,Wed
-73.971489,40.782272,2.151762203259462,19,Jan,Thu
-73.981735,40.779999,2.151762203259462,18,May,Wed
-73.982498,40.757874,1.7047480922384253,13,Mar,Tue
-73.972214,40.75882,2.030776369698555,18,Apr,Sat
-73.983528,40.762608,2.4932054526026954,12,Oct,Wed
-74.007637,40.742996,2.1400661634962708,22,Apr,Sat
-73.871063,40.773743,3.676300671907076,1,Jun,Thu
-73.968239,40.752308,3.0155349008501706,11,Oct,Thu
-73.977142,40.750618,3.4741380060638702,11,Sep,Fri
-74.001617,40.730789,2.6741486494265287,14,Sep,Fri
-73.987312,40.750717,2.4849066497880004,14,Mar,Thu
-73.972832,40.752716,4.382026634673881,13,Oct,Tue
-73.986641,40.733055,2.8622008809294686,22,Jan,Sat
-73.960892,40.694057,1.8718021769015913,21,Mar,Sun
-73.970863,40.798599,2.714694743820879,10,Jun,Sat
-73.977074,40.755421,2.1972245773362196,12,Oct,Mon
-74.004318,40.707764,3.3603753871419,8,Jul,Tue
-73.939117,40.799263,3.9512437185814275,19,Aug,Thu
-73.99408,40.751225,2.4423470353692043,19,Oct,Thu
-73.979874,40.776066,2.1972245773362196,9,Jan,Wed
-73.974777,40.763466,2.7568403652716422,10,Jul,Wed
-73.979034,40.683701,2.3513752571634776,2,Sep,Sun
-74.000862,40.730785,1.5040773967762742,3,Jan,Thu
-73.989525,40.719509,2.3513752571634776,19,Jan,Fri
-73.954437,40.763985,2.8735646395797834,7,Jun,Sun
-73.982338,40.768341,2.2512917986064953,13,Dec,Thu
-73.954269,40.770077,2.0014800002101243,22,Jan,Mon
-73.993233,40.74715,2.6741486494265287,0,Nov,Sun
-73.974121,40.763157,2.2512917986064953,20,Feb,Tue
-73.968765,40.791183,1.6094379124341003,10,Jun,Mon
-73.990044,40.717213,1.7047480922384253,14,Aug,Thu
-73.96756,40.752323,2.3978952727983707,18,Aug,Wed
-73.995049,40.734177,2.1972245773362196,4,Feb,Wed
-73.953667,40.782146,2.151762203259462,3,Jun,Sun
-73.988998,40.744152,3.1570004211501135,22,Jan,Sun
-73.967232,40.763573,2.5649493574615367,17,Jun,Mon
-73.982841,40.761662,3.258096538021482,21,Jul,Fri
-73.988785,40.727139,3.0204248861443626,3,Oct,Fri
-73.982765,40.745243,2.505525936990736,18,Nov,Wed
-73.986732,40.755566,2.4423470353692043,17,Jan,Fri
-73.994095,40.751221,2.0794415416798357,19,Oct,Mon
-73.98867,40.77808,2.6390573296152584,21,May,Sun
-73.944687,40.834507,1.7047480922384253,4,Aug,Mon
-74.006439,40.73896,2.6390573296152584,11,Dec,Tue
-73.945435,40.751076,2.5257286443082556,6,Oct,Sat
-73.974037,40.764301,2.151762203259462,17,Sep,Fri
-73.988564,40.752773,2.2512917986064953,19,Feb,Tue
-73.864693,40.770721,3.3843902633457743,12,Aug,Fri
-73.987473,40.719913,2.5877640352277083,14,Jan,Wed
-73.985458,40.741604,2.272125885509337,3,Apr,Sun
-73.961044,40.796741,2.302585092994046,17,Aug,Tue
-73.993484,40.736385,2.379546134130174,14,Nov,Tue
-73.872856,40.774109,4.174387269895637,17,Mar,Thu
-73.986061,40.74044,1.8718021769015913,11,Nov,Wed
-73.981453,40.734859,1.791759469228055,20,Aug,Mon
-73.980904,40.753422,3.068052935133617,15,Nov,Wed
-73.998474,40.762699,2.6390573296152584,10,Jul,Sat
-73.976936,40.7477,3.2188758248682006,23,May,Fri
-73.973671,40.75518,2.0149030205422647,8,Nov,Tue
