time,london_se,long_distance,regional,fourweek,finyear,period
2001-02 Period 09,5,13.7,5.4,9,2001,2001.615385
2001-02 Period 10,4.5,12.4,5.1,10,2001,2001.692308
2001-02 Period 11,3.2,10.1,3.3,11,2001,2001.769231
2001-02 Period 12,3.2,9,4,12,2001,2001.846154
2001-02 Period 13,2.7,9,3.5,13,2001,2001.923077
2002-03 Period 01,3.1,6.2,2.6,1,2002,2002
2002-03 Period 02,2.6,7.4,3.2,2,2002,2002.076923
2002-03 Period 03,3,9.6,3.9,3,2002,2002.153846
2002-03 Period 04,3.4,11.1,3.7,4,2002,2002.230769
2002-03 Period 05,3.7,12.6,5.5,5,2002,2002.307692
2002-03 Period 06,3.2,8.2,4,6,2002,2002.384615
2002-03 Period 07,2.6,8,3.5,7,2002,2002.461538
2002-03 Period 08,7.6,26.1,8.9,8,2002,2002.538462
2002-03 Period 09,4.6,17.9,4.9,9,2002,2002.615385
2002-03 Period 10,3.7,15.7,5.1,10,2002,2002.692308
2002-03 Period 11,5.3,12.5,3.5,11,2002,2002.769231
2002-03 Period 12,3,9.4,3.2,12,2002,2002.846154
2002-03 Period 13,3,7,3.1,13,2002,2002.923077
2003-04 Period 01,2.9,8.4,3,1,2003,2003
2003-04 Period 02,2.7,7.8,2.6,2,2003,2003.076923
2003-04 Period 03,3.2,9.9,2.8,3,2003,2003.153846
2003-04 Period 04,3.9,13.5,3.6,4,2003,2003.230769
2003-04 Period 05,5,16.6,4,5,2003,2003.307692
2003-04 Period 06,3.5,9.7,2.6,6,2003,2003.384615
2003-04 Period 07,3.1,13.6,3.3,7,2003,2003.461538
2003-04 Period 08,3.3,9.8,5.3,8,2003,2003.538462
2003-04 Period 09,3.9,9.1,4.5,9,2003,2003.615385
2003-04 Period 10,3.5,7.9,4.1,10,2003,2003.692308
2003-04 Period 11,4.7,7.3,3.1,11,2003,2003.769231
2003-04 Period 12,3.2,6.4,3.1,12,2003,2003.846154
2003-04 Period 13,2.9,6.4,2.9,13,2003,2003.923077
2004-05 Period 01,2.7,5.8,2.8,1,2004,2004
2004-05 Period 02,2.4,6.3,3.3,2,2004,2004.076923
2004-05 Period 03,3.2,9,3.6,3,2004,2004.153846
2004-05 Period 04,2.9,7.9,3.1,4,2004,2004.230769
2004-05 Period 05,3.8,10.6,4.1,5,2004,2004.307692
2004-05 Period 06,3,7.2,3.7,6,2004,2004.384615
2004-05 Period 07,2.8,6.2,3.3,7,2004,2004.461538
2004-05 Period 08,3.3,13,4.1,8,2004,2004.538462
2004-05 Period 09,2.9,8,3.8,9,2004,2004.615385
2004-05 Period 10,2.6,8.6,4.3,10,2004,2004.692308
2004-05 Period 11,2,6.7,3,11,2004,2004.769231
2004-05 Period 12,3.6,6.1,2.6,12,2004,2004.846154
2004-05 Period 13,2.3,5.6,2.6,13,2004,2004.923077
2005-06 Period 01,2.2,5.2,2.7,1,2005,2005
2005-06 Period 02,2.2,4.3,2.6,2,2005,2005.076923
2005-06 Period 03,2.7,9,3.8,3,2005,2005.153846
2005-06 Period 04,4.2,10.3,3.8,4,2005,2005.230769
2005-06 Period 05,2.7,5.4,3.3,5,2005,2005.307692
2005-06 Period 06,2.8,6,3.1,6,2005,2005.384615
2005-06 Period 07,2.1,4.9,3.2,7,2005,2005.461538
2005-06 Period 08,3.1,9.4,4.2,8,2005,2005.538462
2005-06 Period 09,3.6,9.1,4.3,9,2005,2005.615385
2005-06 Period 10,3.1,6.1,4.1,10,2005,2005.692308
2005-06 Period 11,2.2,3.6,2.7,11,2005,2005.769231
2005-06 Period 12,2.1,4.9,2.7,12,2005,2005.846154
2005-06 Period 13,2.3,4.4,2.5,13,2005,2005.923077
2006-07 Period 01,2.3,3.6,2.4,1,2006,2006
2006-07 Period 02,2,4.1,2.5,2,2006,2006.076923
2006-07 Period 03,2.4,4.9,2.8,3,2006,2006.153846
2006-07 Period 04,2.9,9.1,4.2,4,2006,2006.230769
2006-07 Period 05,2.3,5.5,3.1,5,2006,2006.307692
2006-07 Period 06,2.3,5.9,3.4,6,2006,2006.384615
2006-07 Period 07,2.4,4.7,2.9,7,2006,2006.461538
2006-07 Period 08,2.6,6.7,3.6,8,2006,2006.538462
2006-07 Period 09,3.5,7.7,3.6,9,2006,2006.615385
2006-07 Period 10,2.6,5.7,3.5,10,2006,2006.692308
2006-07 Period 11,4.3,9.5,4.5,11,2006,2006.769231
2006-07 Period 12,2.6,6,3.2,12,2006,2006.846154
2006-07 Period 13,2,4.3,2.4,13,2006,2006.923077
2007-08 Period 01,2.1,5.3,2.6,1,2007,2007
2007-08 Period 02,2.4,4.2,2.4,2,2007,2007.076923
2007-08 Period 03,1.8,6.2,3.6,3,2007,2007.153846
2007-08 Period 04,2.9,10.2,4.7,4,2007,2007.230769
2007-08 Period 05,2,5.5,2.6,5,2007,2007.307692
2007-08 Period 06,1.8,4.2,2.5,6,2007,2007.384615
2007-08 Period 07,2.2,4.6,2.4,7,2007,2007.461538
2007-08 Period 08,2.4,5.2,3.4,8,2007,2007.538462
2007-08 Period 09,2.9,5.9,2.8,9,2007,2007.615385
2007-08 Period 10,2.9,6.1,3.6,10,2007,2007.692308
2007-08 Period 11,2.4,6,3.1,11,2007,2007.769231
2007-08 Period 12,2.1,5.8,2.4,12,2007,2007.846154
2007-08 Period 13,2.2,5.2,2.6,13,2007,2007.923077
2008-09 Period 01,1.9,4.3,1.8,1,2008,2008
2008-09 Period 02,2.2,5.1,2.3,2,2008,2008.076923
2008-09 Period 03,2.5,5.4,2.6,3,2008,2008.153846
2008-09 Period 04,2,5.7,2.1,4,2008,2008.230769
2008-09 Period 05,1.8,6,2.6,5,2008,2008.307692
2008-09 Period 06,1.5,4.6,2.7,6,2008,2008.384615
2008-09 Period 07,1.8,3.7,2.5,7,2008,2008.461538
2008-09 Period 08,2.2,5.7,3,8,2008,2008.538462
2008-09 Period 09,2.8,5.5,3.7,9,2008,2008.615385
2008-09 Period 10,2.3,6.4,4,10,2008,2008.692308
2008-09 Period 11,2.4,5.4,2.2,11,2008,2008.769231
2008-09 Period 12,7.3,6.2,2.6,12,2008,2008.846154
2008-09 Period 13,1.8,3.8,1.8,13,2008,2008.923077
2009-10 Period 01,1.7,4.3,1.5,1,2009,2009
2009-10 Period 02,1.8,3,1.6,2,2009,2009.076923
2009-10 Period 03,1.7,4.7,2.2,3,2009,2009.153846
2009-10 Period 04,2.2,3.9,1.9,4,2009,2009.230769
2009-10 Period 05,1.5,3.6,1.8,5,2009,2009.307692
2009-10 Period 06,1.7,3.7,2,6,2009,2009.384615
2009-10 Period 07,1.8,2.5,1.8,7,2009,2009.461538
2009-10 Period 08,2.1,4.1,2.3,8,2009,2009.538462
